Lat	Lon	Area_ha	S	N	min_DBH_cm	Tree_def	Notes	Numerical_ID	Plot_ID	Dataset	Ref_short	Ref_long
21.483	101.567	0.04	19	150	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	44	Cao_15	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.04	15	150	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	45	Cao_16	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
21.483	101.567	0.04	11	142	5	trees	Lat and Lon coordinates are all for the nearest meteorological station in Mengla.	46	Cao_17	Cao_Zhang_SW_China	Cao and Zhang 1997	Cao & Zhang (1997) Tree species diversity of tropical forest vegetation in Xishuangbanna, SW China. Biodiversity and Conservation 6: 995-1006.
27.8472	117.8553	0.04	11	91	5	trees	NA	47	E1	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8789	117.8498	0.04	15	17	5	trees	NA	48	E2	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8843	117.842	0.04	21	199	5	trees	NA	49	E3	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8776	117.8449	0.06	37	162	5	trees	NA	50	E4	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8772	117.8442	0.06	42	196	5	trees	NA	51	E5	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.877	117.8429	0.06	32	142	5	trees	NA	52	E6	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8769	117.8416	0.06	38	145	5	trees	NA	53	E7	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8765	117.8396	0.06	38	238	5	trees	NA	54	E8	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.876	117.838	0.06	36	194	5	trees	NA	55	E9	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8761	117.8368	0.06	24	249	5	trees	NA	56	E10	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8758	117.8352	0.06	19	197	5	trees	NA	57	E11	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
27.8754	117.8338	0.06	32	313	5	trees	NA	58	E12	Zheng_Fujian	Zheng et al. 2004	Zheng et al. (2004) Tree species diversity along latitudinal gradient on southeastern and northwestern slopes of Mt. Huanggang, Wuyi Mountains, Fujian, China. Biodiversity Science, 12: 63-74.
