"Dataset","Loc_ID","Lat","Lon","Area_km","S","N","min_DBH_cm","GPP","ET","ANN_T","WARM_T","ISO_T","MIN_P","P_SEAS","ALT_DIF","ISLAND","HABITAT","REALM","REALM_PK","DAT_TYPE"
"CoelhodeSouza_Amazon","BDF-14",-2.36,-59.97,0.01,296,827,10,25226,12195.75,26.9,27.5,83,373,32,54,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BEE-01",-16.53,-64.58,0.01,93,669,10,32480,12428.1669921875,25.2,27,63,365,50,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BLS-01",0.61,-79.86,0.001,34,76,10,9656,42096.41796875,24.8,25.5,75,151,65,158,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BNT-01",-2.64,-60.16,0.01,153,720,10,24143,11868,27,27.6,82,317,35,41,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BNT-02",-2.64,-60.15,0.01,154,815,10,24376,12136.25,27.1,27.8,82,315,34,53,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BNT-04",-2.63,-60.15,0.01,154,785,10,23708,11731.4169921875,27.1,27.8,82,315,34,55,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BNT-05",-2.63,-60.17,0.01,135,632,10,24351,12130.4169921875,27,27.6,82,319,35,49,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BOG-01",-0.7,-76.48,0.01,242,743,10,28828,11634.0830078125,25,25.4,86,639,16,87,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BOG-02",-0.7,-76.47,0.01,272,930,10,28954,11897.1669921875,25,25.4,86,636,16,90,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BRP-01",2.83,-65.9,0.001,37,96,10,25647,11256.0830078125,26.8,27.2,87,449,38,21,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","BVA-01",-4.24,-73.2,0.005,39,435,10,27434,12531.8330078125,26.5,26.9,84,471,22,18,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAG-01",-12.04,-69.11,0.001,31,53,10,33451,13332.5,24.9,25.9,69,155,54,19,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAG-02",-12.04,-69.1,0.001,32,76,10,33178,13300.75,25,25.9,69,154,54,38,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAG-03",-12.03,-69.1,0.001,25,78,10,32961,13174.75,25,25.9,69,154,54,32,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAG-05",-12.11,-69.14,0.001,43,58,10,32954,13203.9169921875,25,25.9,70,161,54,44,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAG-06",-12.1,-69.18,0.001,24,51,10,32919,13139.3330078125,25,25.9,70,164,54,38,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAG-07",-12.17,-69.14,0.001,31,48,10,33387,13149.0830078125,25,25.9,71,165,54,28,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAG-08",-12.18,-69.13,0.001,42,62,10,33373,13130.25,25.1,26,70,165,54,47,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAG-09",-12.13,-69.11,0.001,33,54,10,33957,13644.0830078125,25,25.9,70,161,54,38,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAG-10",-12.17,-69.05,0.001,26,75,10,32899,13152.8330078125,25.1,26,70,158,55,20,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAG-11",-12.18,-69.05,0.001,21,57,10,33556,13434.75,25.1,26,70,158,54,48,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAI-01",8.7,-70.07,0.0025,40,204,10,19749,20747.75,27,27.7,75,39,72,19,0,"Tropical and Subtropical Dry Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAS-01",2.03,-66.47,0.01,105,629,10,24858,10979.25,26.6,26.9,91,537,29,17,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAS-02",2.32,-66.48,0.01,73,672,10,24837,10753.1669921875,26.6,27,90,529,32,22,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAS-03",1.92,-66.62,0.01,69,594,10,23931,10678.25,26.5,26.8,92,554,28,11,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAT-02",8.44,-71.77,0.0025,16,100,10,26096,16955.333984375,25.1,25.5,83,217,32,240,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAX-01",-1.74,-51.46,0.01,190,588,10,22663,11193.0830078125,26.7,27.2,86,204,52,37,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
"CoelhodeSouza_Amazon","CAX-06",-1.72,-51.46,0.01,131,469,10,21316,10650.3330078125,26.8,27.3,86,209,51,33,0,"Tropical and Subtropical Moist Broadleaf Forests","Neotropic","Neotropic","Plot"
